user_id,target_id,view_count,click_count,bookmark_flag,join_flag,submit_flag,last_interaction_at
U-0001,INV-350691,0,0,0,0,0,2026-03-24 05:54:53.744+00
U-0001,T-018,0,1,0,1,0,2026-03-24 09:07:36.823+00
U-0001,hack-9-1,3,13,1,1,1,2026-03-28 05:06:10.689+00
U-0001,fallback-team_create,0,0,0,0,0,2026-03-03 06:57:04.784+00
U-0001,T-026,0,4,0,1,0,2026-03-28 05:31:39.689+00
U-0001,/camp,0,0,0,0,0,2026-03-29 13:27:52.068128+00
U-0001,Team-U-0001-579,0,0,0,0,0,2026-03-28 03:13:20.789+00
U-0001,/team/T-006/manage,0,0,0,0,0,2026-03-28 12:41:53.367+00
U-0001,T-020,0,0,0,0,0,2026-02-27 21:44:24+00
U-0001,fallback-team_request_create,0,0,0,0,0,2026-03-17 14:36:58.87+00
U-0001,/team/T-001/manage,0,0,0,0,0,2026-03-28 05:08:19.685+00
U-0001,Disaster,0,0,0,0,0,2026-03-29 13:27:28.759973+00
U-0001,true,0,0,0,0,0,2026-03-24 04:26:30.872+00
U-0001,Cloud,0,0,0,0,0,2026-02-28 13:57:43.869+00
U-0001,chatbot,0,0,0,0,0,2026-03-29 13:26:00.932385+00
U-0001,hack-3,8,9,1,1,0,2026-03-25 14:46:40.542+00
U-0001,fallback-recommendation_impression,0,0,0,0,0,2026-03-28 11:04:07.388+00
U-0001,T-010,0,3,0,1,0,2026-03-22 10:56:05.378+00
U-0001,/submit/hack-7-1,0,0,0,0,0,2026-03-09 10:36:14.78+00
U-0001,user,0,0,0,0,0,2026-03-28 13:20:28.508+00
U-0001,chatbot_room,0,0,0,0,0,2026-03-28 08:10:30.406+00
U-0001,open,0,0,0,0,0,2026-03-25 12:24:45.209+00
U-0001,team,0,0,0,0,0,2026-03-24 09:06:51.823+00
U-0001,notification_panel,0,0,0,0,0,2026-03-18 14:08:40.331+00
U-0001,T-002,0,1,0,1,0,2026-03-28 13:01:08.423+00
U-0001,Team-U-0001-571,0,0,0,0,0,2026-03-28 13:02:58.423+00
U-0001,T-8022,0,0,0,0,0,2026-03-22 10:58:03.378+00
U-0001,T-7346,0,0,0,0,0,2026-03-10 09:59:53.351+00
U-0001,Data,0,0,0,0,0,2026-03-24 01:53:43.203+00
U-0001,fallback-card_click,0,0,0,0,0,2026-02-28 14:20:12.869+00
U-0001,/submit/hack-2-2,0,0,0,0,0,2026-03-07 09:19:34.795+00
U-0001,T-1425,0,0,0,0,0,2026-03-28 13:04:40.423+00
U-0001,T-007,0,0,0,1,0,2026-03-28 07:10:18.107+00
U-0001,T-011,0,1,0,0,0,2026-03-03 14:14:22.192+00
U-0001,T-005,0,3,0,1,0,2026-03-25 12:29:20.209+00
U-0001,INV-794524,0,0,0,0,0,2026-03-25 08:50:17.263+00
